Time,Vel_X,Vel_Y,Vel_Z,Total
99.007000,-0.039612,0.018389,-0.086239,0.096667
99.221000,-0.031388,0.026464,-0.087515,0.096667
99.448000,-0.025643,0.032153,-0.087482,0.096667
99.666000,-0.024622,0.061900,-0.070047,0.096667
99.886000,-0.007324,0.081701,-0.043593,0.092893
100.100000,0.021639,0.093047,0.014778,0.096667
100.316000,-0.013674,0.069619,-0.065655,0.096667
100.537000,0.022136,0.094026,0.003673,0.096667
100.749000,0.019384,0.094218,0.009573,0.096667
100.967000,-0.039779,0.032675,-0.081819,0.096667
101.188000,-0.031068,0.036083,-0.084127,0.096667
101.396000,-0.010318,-0.080192,-0.052983,0.096667
101.615000,0.021030,-0.000338,0.094351,0.096667
101.832000,-0.009107,0.004438,0.096134,0.096667
102.049000,-0.081422,0.034253,0.039264,0.096667
102.262000,-0.030565,0.037084,-0.083875,0.096667
102.478000,0.008345,0.024103,-0.093241,0.096667
102.696000,0.016634,0.026359,-0.091504,0.096667
102.921000,0.023110,0.039900,-0.084961,0.096667
103.130000,0.035298,0.058499,-0.068384,0.096667
103.348000,-0.008604,0.045933,0.084620,0.096667
103.565000,-0.009424,-0.009152,0.095770,0.096667
103.781000,-0.022420,0.004295,0.093933,0.096667
103.997000,-0.048002,0.017578,0.082045,0.096667
104.215000,-0.054973,0.018724,0.077278,0.096667
104.430000,-0.019122,-0.022939,0.091938,0.096667
104.654000,0.047991,-0.061427,0.057167,0.096667
104.871000,0.077015,-0.051890,0.026842,0.096667
105.086000,0.046979,-0.041758,-0.073442,0.096667
105.302000,-0.014097,0.020330,-0.093447,0.096667
105.522000,-0.050014,0.066227,-0.049568,0.096667
105.730000,-0.048447,0.083510,-0.004830,0.096667
105.950000,-0.016273,0.092120,-0.024364,0.096667
106.166000,0.025932,0.071406,-0.059776,0.096667
106.381000,0.030874,0.066287,-0.063224,0.096667
106.601000,-0.028049,0.075005,0.054148,0.096667
106.812000,-0.069286,0.008907,0.066817,0.096667
107.031000,-0.045315,0.039741,0.075575,0.096667
107.249000,0.000835,0.032086,0.091182,0.096667
107.466000,0.047058,0.040997,0.073819,0.096667
107.688000,0.073356,0.020308,0.059589,0.096667
107.903000,0.003673,0.075188,0.060644,0.096667
108.112000,-0.011468,0.083952,0.046530,0.096667
108.329000,-0.000938,0.071743,-0.063023,0.095498
108.549000,-0.017831,0.091483,0.025640,0.096667
108.763000,0.001337,0.016492,-0.095240,0.096667
108.987000,-0.004047,0.021284,-0.094207,0.096667
109.208000,-0.006203,0.026645,-0.092715,0.096667
109.413000,-0.006409,0.043492,-0.086092,0.096667
109.633000,0.010106,0.063580,-0.072110,0.096667
109.849000,0.024645,0.083417,-0.042174,0.096667
110.063000,0.028154,0.091259,-0.014954,0.096667
110.286000,0.027787,0.090442,0.019812,0.096667
110.499000,0.022508,0.063605,0.067403,0.095370
110.717000,0.003850,0.003153,0.096538,0.096667
110.930000,-0.014027,-0.005016,0.095512,0.096667
111.148000,-0.012162,0.043092,0.085672,0.096667
